Time            Price           Type
23              9.215            sell
25              9.215            sell
27              9.185            sell
32              9.185            sell
55              9.151            buy
55              9.151            buy
56              9.186            buy
60              9.246            buy
71              9.218            sell
73              9.188            sell
74              9.188            sell
74              9.218            buy
79              9.219            buy
79              9.204            sell
82              9.219            buy
82              9.249            buy
100              9.251            sell
102              9.251            sell
104              9.251            sell
108              9.317            buy
107              9.317            buy
108              9.317            buy
121              9.283            sell
125              9.319            sell
126              9.349            buy
127              9.349            buy
159              9.382            sell
162              9.413            sell
164              9.413            sell
166              9.448            buy
168              9.383            sell
171              9.414            sell
175              9.449            buy
174              9.449            buy
176              9.449            buy
179              9.450            buy
181              9.385            sell
182              9.385            sell
182              9.415            sell
184              9.385            sell
186              9.450            buy
185              9.450            buy
186              9.450            buy
189              9.451            buy
192              9.416            sell
193              9.416            sell
193              9.416            sell
197              9.416            sell
211              9.388            buy
213              9.328            sell
216              9.388            buy
216              9.359            buy
217              9.359            sell
217              9.359            sell
218              9.359            buy
220              9.359            sell
236              9.361            buy
236              9.391            buy
236              9.391            buy
240              9.391            buy
248              9.392            sell
251              9.392            sell
252              9.422            buy
253              9.392            sell
256              9.423            buy
256              9.423            buy
257              9.363            sell
257              9.363            sell
258              9.363            sell
262              9.393            sell
262              9.423            buy
264              9.424            buy
264              9.424            buy
267              9.424            buy
271              9.394            sell
275              9.425            buy
294              9.552            sell
296              9.552            sell
300              9.523            sell
301              9.553            buy
303              9.588            buy
304              9.588            buy
330              9.590            sell
331              9.590            sell
332              9.590            sell
332              9.620            buy
334              9.680            buy
335              9.680            buy
341              9.559            sell
342              9.559            sell
342              9.683            buy
343              9.558            sell
344              9.558            sell
346              9.522            sell
362              9.555            buy
362              9.490            buy
363              9.585            buy
367              9.585            buy
376              9.585            sell
378              9.615            buy
391              9.586            sell
392              9.586            sell
393              9.586            sell
396              9.521            sell
401              9.616            buy
402              9.556            sell
407              9.586            buy
407              9.556            sell
422              9.556            buy
422              9.586            buy
422              9.586            buy
427              9.556            buy
430              9.556            sell
431              9.556            sell
432              9.521            sell
434              9.521            sell
437              9.586            buy
436              9.586            buy
438              9.521            sell
439              9.521            sell
440              9.586            buy
441              9.586            buy
440              9.586            buy
441              9.586            buy
441              9.586            sell
442              9.616            buy
453              9.557            sell
454              9.557            sell
454              9.587            sell
454              9.587            buy
459              9.557            sell
461              9.587            buy
463              9.587            buy
463              9.587            sell
464              9.587            buy
465              9.587            buy
477              9.647            sell
479              9.617            sell
481              9.682            buy
482              9.682            buy
482              9.647            sell
490              9.647            sell
491              9.647            sell
491              9.682            buy
492              9.647            sell
494              9.647            sell
497              9.647            sell
497              9.682            buy
499              9.647            sell
500              9.682            buy
499              9.682            buy
501              9.647            sell
502              9.647            sell
516              9.617            buy
